LocusID	Probes	Family	Differentially expressed in	Tos17 Flanking tag in genomic region	Tos17 Flanking tag in 2Kb upstream region	7-d-seedlg-salt_GSE6901;7-d-old seedling (Indica)	CSR27-10-d-seedlg-salt_GSE16108;Seedling 10-d after germination (CSR27)	FL478-rt-salt_GSE13735;Roots (FL478)	FL478-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (FL478)	IR29-rt-salt_GSE13735;Roots (IR29)	IR29-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (IR29)	IR63731-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (IR63731)	MI48-10-d-seedlg-salt_GSE16108;Seedling 10-d after germination (MI48)	Pok-rt-30-d-plant-salt_GSE14403;Roots in 30-d-old plant (Pokkali)	7-d-seedlg-drought_GSE6901;7-d-old seedling (Indica)	Azu-lf-83-d-plant-drought_GSE24048;Leaf in 83-d-old plant (Azucena)	Bal-lf-83-d-plant-drought_GSE24048;Leaf in 83-d-old plant (Bala)	lf-boot-stg-drought_GSE26280;Leaves at booting stage (IR64)	lf-pan-elongn-stg-drought_GSE26280;Leaves at panicle elongation stage (IR64)	lf-tiller-stg-drought_GSE26280;Leaves at tillering stage (IR64)	rt-pan-elongn-stg-drought_GSE26280;Roots at panicle elongation stage (IR64)	rt-tiller-stg-drought_GSE26280;Roots at tillering stage (IR64)	young-pan-boot-stg-drought_GSE26280;Young panicle at booting stage (IR64)
LOC_Os02g23823	Os.52897.1.S1_at	bHLH	Salinity;Drought	FT909503;AG206956;CU323201	--	1.1923783	-2.8550170	1.3464025	1.3464025	1.1085795	1.1085795	1.1664411	1.6509295	1.4901740	1.0761291	-1.2587792	-2.1138852	-1.0120355	-1.9509599	4.7771106	-1.2768785	2.4085274	1.0903934
LOC_Os12g39850	OsAffx.32104.1.S1_at	bHLH	--	--	FT925297;FT925205;CU323527;CU316230	1.1113560	1.1367648	-1.2408360	-1.2408360	1.0225120	1.0225120	-1.4282652	-1.0051528	1.0306575	-1.3946079	-1.0071600	1.0087627	-1.0327287	1.6827645	-1.1083510	1.0026714	-1.0510000	-1.4834570
LOC_Os06g46890	Os.14747.1.S1_at	C3H	Salinity;Drought	--	FT888746;FT888073;FT875356;FT875033;FT878957;FT889530	-1.5339196	-3.1129646	-1.1648068	-1.1648068	1.0206425	1.0206425	-1.1604066	2.3751047	-1.1305857	1.3992280	-1.2182162	-1.0279354	3.4412324	1.1350650	2.5944285	1.0325757	1.1936218	2.8174605
LOC_Os03g62230	OsAffx.3671.1.S1_at	C2H2	Salinity	--	--	2.3314672	-1.0432773	-1.0879828	-1.0879828	-1.0867096	-1.0867096	-1.3420942	1.0311326	-1.3780990	-1.0992763	-1.2537469	-1.1627399	-1.0057769	1.1852485	-1.0252748	-1.0567634	-1.1664187	-1.1531332
LOC_Os02g08150	Os.13999.1.S1_at	C2C2-CO-like	Salinity;Drought	--	--	-2.0302753	-1.7438330	1.0251813	1.0251813	2.1204286	2.1204286	1.0165678	-1.6038488	1.2331270	3.1942766	-1.2901940	-2.5842050	-1.7561027	-5.0127826	-1.1029336	3.2231793	15.0015770	-1.1969340
LOC_Os03g25550	OsAffx.13026.1.S1_at	MYB	Drought	--	FT926169;FT926068;AB156780	1.5168300	1.0019953	-1.0018495	-1.0018495	-1.0019497	-1.0019497	-1.0044255	1.0426466	1.0007592	-1.3381687	1.0073044	-1.0136901	-1.0209464	-1.0448018	-1.1230112	1.0150737	1.0072182	-2.7259998
LOC_Os08g37730	Os.55174.1.S1_at	bHLH	Drought	--	--	1.4996998	-1.4196972	1.8266490	1.8266490	1.6307955	1.6307955	1.2538726	1.2418277	1.6042606	1.0724387	-1.0557115	1.0089185	-1.0034622	1.0577213	-1.0318329	-1.0755473	-1.4785274	-4.1053640
LOC_Os08g38590	OsAffx.6071.1.S1_at	MADS	--	--	--	-1.0126280	1.0849893	1.0004487	1.0004487	-1.0020171	-1.0020171	-1.0032166	-1.0510862	-1.0049131	1.0111591	-1.0041001	1.0009958	-1.0382086	-1.0114275	-1.0214008	1.0158274	1.0066333	1.0019473
LOC_Os01g56100	Os.12255.1.S1_a_at	BSD	--	--	--	1.4790109	-1.2215036	1.0659742	1.0659742	-1.0725875	-1.0725875	-1.0418555	1.2209902	1.1997880	1.0068964	1.4569473	1.0184643	-1.0100030	1.6745582	1.1732823	-1.0902804	-1.1108850	1.8666000
LOC_Os03g58640	Os.12938.1.S1_at	FHA	Salinity;Drought	--	--	-2.0860295	-1.8355193	1.3096160	1.3096160	1.0452806	1.0452806	1.2614889	-2.1510994	1.4717793	4.1473365	1.1788785	-1.1614610	1.0166578	-3.4490943	1.3733478	-1.0222473	1.4105251	1.0877216
LOC_Os07g07020	Os.18373.1.S1_at	SOH1	Salinity;Drought	FT917782;FT917583;FT872416;AG024950	CU315127	1.0133005	-2.4485915	-1.0210073	-1.0210073	1.2722068	1.2722068	1.0667528	3.2209322	1.3198018	1.0494590	1.4578645	1.2216054	2.2275562	1.2315761	2.2473903	1.3193095	3.0012900	2.1199627
LOC_Os03g59530	Os.51090.1.S1_at	FHA	Drought	FT924145;AB156734	--	1.1036891	1.0059147	1.0573620	1.0573620	-1.1528219	-1.1528219	-1.2116070	1.6842663	1.2009307	-1.4963700	1.7835898	1.6079538	2.2490861	2.3482673	1.8303682	1.3823961	1.2830210	3.6612394
LOC_Os12g29330	OsAffx.7733.1.S1_at	NAC	Salinity;Drought	--	--	5.3167086	1.5122992	1.3426907	1.3426907	1.0140185	1.0140185	1.0721630	2.8275850	1.0954064	-5.5287770	1.0102900	-2.0096514	1.7763438	3.5221992	1.1325640	-1.6360925	-2.4897666	-2.0506022
LOC_Os06g39590	Os.49290.1.S1_at	AUX/IAA	Salinity;Drought	--	--	-1.1483675	-7.2840595	1.0495249	1.0495249	1.4008818	1.4008818	1.2976936	-2.9734302	1.3175659	-1.0478670	-1.3250872	1.2760404	1.1334805	-1.4917916	-2.8354924	-1.2986091	-3.4422400	-2.8272161
LOC_Os01g47360	OsAffx.11504.1.S1_at	C2C2-GATA	--	--	--	1.1333838	1.0414810	-1.0009220	-1.0009220	-1.0000082	-1.0000082	1.0854675	-1.0213058	1.0004064	-1.5142301	-1.0032590	1.1534957	-1.0022911	-1.0154816	1.0359311	1.0884166	-1.0539882	1.0023539
LOC_Os04g41229	Os.7694.1.S1_at	bHLH	Salinity;Drought	FT892448;FT892441;FT900039;CU325538	--	-1.1864092	-7.3514670	-1.3923342	-1.3923342	-1.3233685	-1.3233685	-1.1029098	-1.2620628	1.1789408	1.9367190	1.2187968	-1.2297980	1.8041810	11.9894750	7.4179354	-33.8937030	-85.9213600	1.0846872
LOC_Os07g39690	Os.7319.1.S1_at	GNAT	Salinity;Drought	--	--	-1.5519848	-3.2124217	-1.2483978	-1.2483978	-1.0674641	-1.0674641	-1.0231363	-1.6808826	1.4227842	2.0895925	-1.0024546	-1.2919832	1.1312898	-1.5122416	1.4001849	-1.6967796	-1.1308253	1.3267075
LOC_Os01g66420	Os.2294.1.S1_at	Alfin-like	Drought	--	--	1.1882739	-1.0983210	1.1889964	1.1889964	1.0841396	1.0841396	1.1290071	1.1605525	1.1878883	1.1106535	1.5843585	-1.3709322	1.0942873	-1.2091504	-1.1108499	1.0581995	1.2124107	3.4210370
LOC_Os08g44940	OsAffx.17516.1.S1_at	LOB	Salinity;Drought	--	--	14.4815720	1.0301101	-1.5449823	-1.5449823	1.1929842	1.1929842	-1.3844570	2.3726864	-1.6526085	2.5528470	1.0016652	-1.0030708	-1.0098007	1.0083511	1.0046338	-1.1787108	-7.4478087	1.0025624
LOC_Os03g42240	OsAffx.25485.1.S1_at	ABI3VP1	Drought	--	--	-1.0088881	-1.0059959	-1.0010440	-1.0010440	-1.0022622	-1.0022622	-1.0030254	1.0339468	-1.0036097	-1.0630658	2.0785236	-1.0014325	1.0167139	1.0006844	-1.0041577	1.0070665	1.0054477	1.0060331
LOC_Os02g09830	OsAffx.11963.1.S1_at	bZIP	Salinity;Drought	--	FT917953;FT905457;FT905454;FT905453;FT905452;AG022485	55.2069320	1.1029719	-1.8895997	-1.8895997	-1.6303805	-1.6303805	-1.7802701	7.4611160	-2.2739050	-29.1818640	1.7296902	1.0179784	10.6113950	35.6644900	1.2602116	1.0794281	1.2248589	2.0932825
LOC_Os03g04310	Os.5860.1.S1_at	bHLH	Salinity;Drought	--	--	-1.9727197	-1.6118158	1.4297483	1.4297483	1.1775569	1.1775569	1.0632427	-5.9882910	1.1540693	1.2905122	1.2051783	-1.1092495	1.1102002	-1.2443596	-3.5878565	-11.9300670	-17.9157560	-1.6145961
LOC_Os05g33810	Os.19407.1.S1_at	SBP	--	--	--	-1.1603172	-1.0615193	-1.0236714	-1.0236714	-1.0445974	-1.0445974	-1.1123150	1.0843090	-1.1013466	-1.0854819	-1.1593670	-1.3926040	1.3596692	1.1758298	1.4688617	1.7961120	1.7474180	-1.0143433
LOC_Os05g03020	Os.33140.1.A1_a_at	C2H2	Salinity;Drought	--	--	1.0557390	-5.7654724	-1.4635375	-1.4635375	-1.0987003	-1.0987003	-1.3483577	1.6509156	1.0753337	1.8112510	1.7734923	1.5852350	2.9416034	1.0603478	1.4035972	1.6266086	1.2444586	1.7186497
LOC_Os01g62460	Os.11866.1.S1_at	GRAS	Salinity;Drought	--	--	2.6304170	-1.0428210	-1.5429614	-1.5429614	-1.0834941	-1.0834941	1.1385894	-1.0193247	-1.1175665	-1.7366040	-3.2513015	-1.1217095	1.0877892	-1.9818711	-1.7144867	-1.3677235	-3.7817333	-1.9520872
LOC_Os08g23680	Os.14860.1.S1_at	FHA	--	--	--	-1.0285408	-1.1137639	1.3853008	1.3853008	-1.1167339	-1.1167339	1.0244497	-1.2451297	1.2168847	1.1466625	1.0635524	-1.0168097	-1.0510058	1.0049597	-1.0158757	-1.2070947	1.0279704	-1.0494930
LOC_Os02g33560	Os.49660.1.S1_at	bZIP	Salinity;Drought	--	--	1.6094126	2.3695948	1.6141706	1.6141706	1.4475907	1.4475907	1.0640681	2.1606977	1.0910026	1.0078233	2.0045488	2.7917670	2.0874014	3.2983375	3.0261075	3.4662290	4.9316254	2.1734211
LOC_Os01g01430	Os.802.1.S1_at	NAC	Salinity;Drought	--	--	1.1307510	1.3231105	-3.4568050	-3.4568050	-2.5988314	-2.5988314	-1.8540709	2.2998562	-1.4396541	1.5053959	2.5310252	-1.0026660	-1.0307229	4.2742740	1.0267024	-4.4738950	-3.8118541	1.0009322
LOC_Os04g23910	Os.54265.1.S1_at	MADS	Drought	--	--	-1.0291430	1.0368409	1.6661892	1.6661892	1.4641517	1.4641517	1.1806740	-1.1157379	1.3918254	1.0317888	-1.0105528	-1.0001955	-1.0305704	-1.0328077	-1.0917900	-1.4512181	-3.7428033	-1.0070177
LOC_Os08g32080	Os.8449.1.S1_at	HB	Drought	--	--	1.5717403	-1.3406115	-1.2284911	-1.2284911	-1.1514353	-1.1514353	-1.3676210	1.5281926	-1.0480169	-1.2082609	-1.0258677	-1.9953042	2.0611813	2.1753294	-1.1218055	-2.5532305	-2.3063950	1.1691349
LOC_Os03g08500	Os.12889.1.S1_x_at	AP2-EREBP	Salinity;Drought	--	--	1.6817780	2.2552814	1.1420919	1.1420919	1.9015778	1.9015778	1.6093484	1.2136815	1.3153512	-1.3310478	1.4667594	-1.0346441	1.3351160	3.0149014	1.7264549	1.0424876	1.7640816	4.8283340
LOC_Os04g40840	Os.17516.1.S1_at	GNAT	Salinity;Drought	--	--	-1.2365341	-2.0833595	1.1841812	1.1841812	1.2841462	1.2841462	1.3711035	-1.7171941	1.2577164	1.2331665	1.3345572	1.2140074	1.0317502	1.5023621	3.3572695	1.7207258	3.1170027	4.8893040
LOC_Os05g25260	Os.56944.1.S1_at	AP2-EREBP	Salinity;Drought	--	--	1.9846896	1.1063099	1.0047130	1.0047130	1.4945161	1.4945161	1.3917296	2.0163891	1.0952188	-1.5318147	1.3179872	1.2590976	2.7493134	1.3490921	1.2477727	2.3577137	1.8698056	2.4641337
LOC_Os02g33770	Os.8837.1.S1_at	Trihelix	Salinity;Drought	--	--	1.6753967	-3.2101338	1.2000964	1.2000964	1.1625506	1.1625506	1.0050925	-1.1766825	1.1813134	-1.6771250	-1.1656109	1.1337144	-1.0267978	3.1897902	3.0049190	1.1555126	-1.8764775	1.2987210
LOC_Os05g14130	OsAffx.14682.1.S1_at	C2H2	--	--	--	-1.0091030	1.0292307	1.0120578	1.0120578	-1.0027457	-1.0027457	-1.0032305	-1.0292556	-1.0027219	-1.0015899	-1.0032247	-1.0003364	1.0076324	-1.0035912	-1.0016356	1.0062920	1.0053370	1.0024304
LOC_Os07g37790	Os.31773.2.S1_x_at	Rcd1-like	Drought	--	--	1.0502691	1.3674958	-1.3710746	-1.3710746	-1.0950849	-1.0950849	-1.2676960	1.1576086	1.0142956	-1.3547244	1.6390725	1.6391687	4.9474280	3.1649022	1.2094868	1.5572603	1.4717574	1.6122406
LOC_Os03g22770	Os.3395.1.S1_at	C2C2-CO-like	Salinity;Drought	--	--	3.2186828	1.9972678	-1.3844659	-1.3844659	1.1473100	1.1473100	1.1204430	1.8725770	1.0096589	-2.5978763	1.0698667	-1.5140786	1.6177758	1.5929800	-1.0179232	1.5924128	2.9026610	2.4907700
LOC_Os09g12770	Os.14719.1.S1_at	G2-like	--	--	--	1.4356263	-1.3196641	-1.0321493	-1.0321493	1.0928032	1.0928032	1.1886090	1.8562711	1.1871017	-1.9593883	1.0982919	-1.1702853	1.3207557	1.1678644	1.1273857	1.1197203	1.5499440	1.9322215
LOC_Os04g50060	Os.7058.1.S1_at	GRAS	Drought	--	--	1.4249961	-1.5229635	-1.0782499	-1.0782499	1.2623395	1.2623395	1.2058938	-1.1794761	1.1316069	1.3776784	1.2861698	3.7109888	2.1217246	1.8063259	2.1047459	1.9093227	-1.1685497	-1.0191034
LOC_Os07g27770	Os.50918.1.S1_at	FAR1	--	--	--	-1.0121286	1.0120999	-1.0003749	-1.0003749	-1.0024363	-1.0024363	-1.0035708	-1.0367707	-1.0048316	1.0082449	-1.0779314	-1.0035659	-1.0068462	-1.0066833	-1.0052663	1.0108760	1.0056427	-1.0008622
LOC_Os11g48000	OsAffx.19436.1.A1_at	C2H2	--	--	--	-1.0104494	1.0224345	1.0055970	1.0055970	1.0117493	1.0117493	-1.0022668	-1.0356705	-1.0095794	1.0074418	-1.0444006	-1.0469563	-1.0013170	-1.0019437	-1.0071530	-1.2996130	-1.0865611	1.0773618
LOC_Os08g44190	OsAffx.6132.1.S1_s_at	C2H2	Salinity;Drought	--	--	1.6970112	-1.1213589	-1.3093250	-1.3093250	2.5045903	2.5045903	1.0720837	3.4340868	-1.1797765	1.5468721	1.2566580	1.0644586	1.0708920	-1.0125731	1.0535536	4.0233607	1.3181864	1.0804268
LOC_Os01g23760	OsAffx.23358.1.S1_at	MADS	--	--	--	-1.0113225	1.0162984	1.0092322	1.0092322	1.0279377	1.0279377	-1.0056607	-1.0540012	-1.0046018	1.0013491	-1.0028282	-1.0007272	-1.0032997	1.0040680	-1.0001650	1.0094260	1.0052328	1.0001405
LOC_Os09g29930	Os.16741.1.S1_a_at	bHLH	Salinity;Drought	--	--	1.2127490	1.0171423	-1.0696125	-1.0696125	1.0914694	1.0914694	1.1194726	2.0092370	-1.2154895	-1.8594481	1.1982150	-1.0035945	2.0392490	-1.6255416	1.6017681	1.0594748	1.1388589	-1.1930108
LOC_Os08g38700	Os.33471.1.A1_at	TRAF	Salinity;Drought	FT910337;FT920359;FT920345;FT885515;AB156375;AG214737;AG207860;CU323013;CU319281;CU317072;CU313575;CU319858	--	1.4202979	1.2933824	-1.2549902	-1.2549902	-1.3007417	-1.3007417	-1.2643017	2.2508147	1.1759691	1.2183831	1.1746233	2.2103436	1.6589756	1.9163868	1.4715894	-4.5791993	-4.2787056	1.0062457
LOC_Os06g01170	Os.39009.1.S1_at	PHD	Salinity;Drought	--	--	1.1069120	-2.1658566	1.2360691	1.2360691	-1.0548192	-1.0548192	1.1492985	1.0345563	1.4009491	1.0742677	1.5417304	1.0668023	1.2831290	1.4541005	2.0339065	1.1284797	1.6398900	1.5411052
LOC_Os06g45640	Os.24566.1.S1_at	CCAAT	Salinity	--	--	-1.0574262	-2.4248740	-1.0067902	-1.0067902	1.7546687	1.7546687	1.4218384	-1.1619550	1.7504587	1.4813163	-1.2366333	-1.7259388	-1.1822065	1.5460261	-1.0702658	-1.9450344	-1.9006839	1.3423729
LOC_Os04g28580	Os.45774.1.S1_at	FAR1	--	--	--	-1.0176141	1.1993549	-1.0094943	-1.0094943	-1.0055952	-1.0055952	-1.0042231	-1.5162332	-1.0049573	-1.0072172	-1.0092890	-1.0542723	-1.0456374	1.4258544	-1.0462795	1.1038498	1.0004727	1.0095718
LOC_Os04g46670	Os.52858.1.S1_at	C2H2	--	--	--	-1.0178739	1.0681857	1.0000906	1.0000906	-1.0049227	-1.0049227	-1.0035744	-1.1366633	-1.0014093	1.0134757	-1.0046788	-1.0057704	-1.0179286	-1.0022193	-1.0226950	1.0115613	1.0110610	1.0018067
LOC_Os08g03310	Os.23145.1.S1_at	C3H	Salinity;Drought	--	--	1.1716359	-3.7505002	1.0045933	1.0045933	-1.2101978	-1.2101978	1.1592430	2.0153990	-1.1491820	1.9295212	1.4092880	-3.5964003	-1.5439817	-1.2545419	-2.6087806	1.0891762	1.2359831	4.7019043
LOC_Os02g51280	Os.47948.1.S1_at	TCP	Salinity;Drought	--	--	1.0126154	-2.4435587	1.7566763	1.7566763	1.1081817	1.1081817	-1.1678360	1.8071585	1.0019186	1.5942833	-1.1183130	1.0116520	1.0198712	1.8004742	-1.0104929	2.5095208	-1.5511246	-1.3219770
LOC_Os08g13250	OsAffx.29176.1.S1_at	TRAF	--	--	--	-1.0108417	1.0145892	-1.0006504	-1.0006504	-1.0033233	-1.0033233	-1.0039215	-1.0840422	-1.0046360	1.0094672	-1.0019263	-1.0055329	-1.0102879	-1.0025021	-1.0032251	1.0083871	1.0059475	1.0015348
LOC_Os09g35870	Os.57199.1.S1_at	AUX/IAA	Salinity	--	FT901148	4.6486260	1.0228823	1.1678761	1.1678761	1.2452232	1.2452232	-1.0927567	-1.0476638	1.1351547	-1.1208676	-1.0043900	-1.0007379	-1.0084509	-1.0010500	-1.0030737	1.0086609	-1.0073665	1.0069326
LOC_Os02g47744	Os.48485.1.S1_at	MYB-related	Salinity;Drought	--	--	-2.1629715	-9.2525200	1.2618380	1.2618380	1.0235584	1.0235584	1.2753631	-2.0876827	1.2662218	1.1587855	-12.7131140	-3.5137854	-9.3502210	-159.8544800	-6.0836506	1.3365538	3.5368226	3.3758490
LOC_Os02g28680	OsAffx.24481.1.S1_at	Orphans	--	--	--	-1.0867885	1.1550344	1.1499485	1.1499485	-1.0031242	-1.0031242	-1.0013441	-1.0541477	-1.0029908	1.0851743	-1.0043231	-1.0081546	-1.0191303	-1.0135083	-1.0443411	1.0098821	1.0063128	-1.0007595
LOC_Os08g33488	Os.50641.1.S1_at	MADS	Drought	--	--	-1.0181638	1.1261310	1.0067358	1.0067358	-1.0018526	-1.0018526	-1.0027515	-1.4411392	-1.0050280	1.0090270	-1.0027260	-1.0048931	-1.0513502	-1.0169076	-1.0236460	2.0385930	1.4405259	1.0023577
LOC_Os10g25850	Os.22789.1.A1_at	CCAAT	--	--	--	1.0172083	1.4052238	-1.0067872	-1.0067872	-1.0125147	-1.0125147	-1.0089928	-1.2362422	-1.0226982	1.0544562	-1.0286475	-1.0096146	-1.6593494	-1.0258148	1.1280328	1.0289161	1.0105782	-1.0621008
LOC_Os12g02450	OsAffx.30783.1.S1_at	WRKY	Salinity;Drought	CU323302	--	-1.0841757	-1.0528321	-1.0529491	-1.0529491	1.9262460	1.9262460	3.2400641	1.3699119	-2.2418845	-1.0228413	1.0144020	-1.0018910	-1.1024245	-8.5125790	-1.1942493	-2.8454050	-11.4418160	-1.0569450
LOC_Os03g62379	OsAffx.25795.1.S1_at	MYB-related	Drought	--	--	-1.9283257	-1.0068566	1.1672592	1.1672592	1.0071414	1.0071414	1.0923752	1.1554518	1.1594650	1.2118636	-1.0081949	1.3350022	1.4416146	-1.1774747	1.2915933	-1.1268383	2.6886845	1.2907139
LOC_Os03g40710	OsAffx.3462.1.S1_at	C2H2	--	FT919364;FT888486;FT876577;FT875880;FT908665;FT923492;FT930797;AB155941;AG211991;AG024408	FT918986;FT881858;FT881853;AG205989	-1.0139755	1.0441796	-1.0048839	-1.0048839	-1.0010651	-1.0010651	-1.0025682	-1.0059283	-1.0057418	1.0123116	-1.0047535	-1.0009400	1.0470989	-1.0023822	-1.0137303	1.0102324	1.0070051	-1.0021019
LOC_Os06g15330	Os.38848.1.S1_at	C2C2-CO-like	Salinity;Drought	--	--	-1.2385900	-2.2725873	1.1552447	1.1552447	1.0152923	1.0152923	1.0519980	-1.5820243	-1.0064815	29.0448880	1.0542369	-9.0616420	-3.6758685	-15.1017720	-3.3407674	-1.0516046	1.1140534	-3.0822458
LOC_Os08g36450	OsAffx.17359.1.S1_at	GeBP	Salinity	--	--	1.6018085	1.5975785	-1.0847610	-1.0847610	-1.0374242	-1.0374242	1.2126724	3.9011320	1.1078911	-1.2296087	1.1132009	1.2446191	-1.2879160	-1.4685689	-1.3025935	-1.0277675	1.2766690	1.9008577
LOC_Os05g07010	OsAffx.4266.1.S1_at	MYB-related	Salinity	--	--	14.8343260	1.0322781	-1.0744987	-1.0744987	1.1407970	1.1407970	1.9423674	-1.1065116	-1.4748703	-1.6176937	-1.0074482	-1.0043242	-1.0146835	-1.1114041	-1.0055680	-1.0501800	-1.0030462	-1.0061729
LOC_Os07g49530	Os.53311.1.S1_at	MYB-related	Salinity;Drought	--	--	1.4713061	-4.0214877	1.4413955	1.4413955	1.3580366	1.3580366	1.1897587	1.4853103	1.3438026	1.1877920	-1.3891293	-1.0067421	1.3795800	-1.2406598	2.8860216	-1.4097787	1.9000176	1.6627010
LOC_Os03g55760	Os.55608.1.S1_at	G2-like	--	--	--	-1.1461858	-1.3017888	1.0729407	1.0729407	1.1668425	1.1668425	1.1085850	-1.3240868	-1.0114970	-1.3266190	-1.0517722	-1.8721862	-1.1338336	-1.0717185	1.0312110	-1.0659363	-1.1310575	-1.9784558
LOC_Os12g06080	OsAffx.19515.1.S1_s_at	ABI3VP1	Salinity;Drought	--	--	4.2391915	1.1091871	-1.2445952	-1.2445952	-1.8226271	-1.8226271	-1.4366298	1.0949827	-1.2880563	-5.5167280	-1.0165073	-1.0122299	-1.0693684	-1.0285394	-1.0872048	3.2389932	1.7608596	-1.9956121
LOC_Os08g42400	Os.11141.1.S1_at	NAC	Drought	--	--	1.6073334	-1.0221478	-1.4122826	-1.4122826	-1.4025056	-1.4025056	-1.4398793	1.8967853	-1.0346500	2.0896008	-1.2177813	-4.4221850	-2.1338027	-2.6158454	-1.2047777	-1.8283810	-2.2558877	-1.4173778
LOC_Os04g58020	Os.15556.1.S1_at	MYB-related	Salinity;Drought	--	--	2.1993868	-1.2983788	1.0883714	1.0883714	-1.0528727	-1.0528727	1.0905176	-1.0744482	1.1264853	-2.1131053	1.2730978	1.2638953	1.1939878	2.7707083	1.7796409	1.0346092	1.6967229	1.3806533
LOC_Os01g72310	Os.48364.1.S1_at	SNF2	Salinity;Drought	--	--	1.1863166	-1.6546481	-1.1877598	-1.1877598	1.0792521	1.0792521	1.2163868	2.4292214	1.0309447	-1.2158496	1.7889569	1.8659577	1.0798852	1.4873854	1.2436920	2.1546670	1.0323789	-1.4888424
LOC_Os01g55430	Os.31726.1.S1_at	TUB	--	FT880087	--	-1.0350928	-1.0313755	1.0032818	1.0032818	1.0025147	1.0025147	-1.0036416	-1.1352080	-1.0051463	-1.1370920	1.0317438	-1.0010313	-1.0110886	-1.0065123	-1.0159585	1.0198399	-1.0027096	1.0500497
LOC_Os06g20020	Os.56344.1.S1_at	C2H2	--	--	--	-1.0145612	1.0151877	1.0022167	1.0022167	-1.0024478	-1.0024478	-1.0059434	-1.0901899	1.0030060	1.0125868	-1.0036844	-1.0778358	-1.0220611	-1.0153730	-1.0173299	1.0235907	1.0060366	-1.0008862
LOC_Os08g44830	Os.51657.1.S1_at	C2H2	Salinity;Drought	--	--	-2.7511418	1.1415404	1.1865150	1.1865150	1.4717321	1.4717321	1.2840321	-2.0638297	1.1409825	8.2859320	1.2897645	-1.7885795	1.0431110	1.4638178	1.5802515	-1.5415394	-2.6120594	1.0871863
LOC_Os03g03760	OsAffx.12726.1.S1_at	G2-like	--	--	--	-1.0252560	1.0025462	-1.0025620	-1.0025620	-1.0018126	-1.0018126	-1.0024915	-1.0332255	-1.0041002	1.0200027	-1.0032028	-1.0022880	-1.0314246	-1.0026492	-1.0076374	1.0060081	1.0058281	-1.0002626
LOC_Os01g54600	Os.2160.2.S1_x_at	WRKY	Salinity;Drought	--	AG209001	1.8589517	1.0077662	1.0064288	1.0064288	1.3357577	1.3357577	1.2295088	2.4384332	1.1091052	-1.8195026	-1.3114381	-2.3158495	1.9188259	1.6828293	1.1690743	-1.4476641	-1.1814812	3.8506353
LOC_Os04g42950	Os.56210.1.S1_at	MYB	Salinity;Drought	--	--	33.4833300	13.5639110	3.6620035	3.6620035	4.2234006	4.2234006	3.6261258	4.9831040	1.1382852	-4.1769800	8.9403970	7.0132350	14.1879700	6.7717910	13.4584140	44.1812550	48.0843280	1.4635892
LOC_Os01g60020	Os.4384.1.S1_at	NAC	Salinity;Drought	--	--	13.5813220	-1.1031079	-1.4263324	-1.4263324	4.0693846	4.0693846	2.4802544	4.3893980	-1.2833830	-12.0066520	-6.4713373	-3.9926490	5.9208220	6.7657860	4.4484305	-2.3268735	-2.8415961	17.9718900
LOC_Os03g17810	Os.53414.1.S1_at	LOB	Salinity;Drought	--	--	2.6200664	1.0053460	1.0134926	1.0134926	2.0654168	2.0654168	1.3878680	5.9003706	1.7610128	1.0063636	11.3053410	1.9716309	1.1717410	32.9961170	6.3906270	2.0792208	-1.4544945	1.0028529
LOC_Os09g12380	Os.54778.1.S1_at	NAC	--	--	--	-1.0006640	1.0272311	-1.0009140	-1.0009140	-1.0033969	-1.0033969	1.0000457	-1.0625571	-1.0012467	1.0070753	-1.0038841	-1.0021324	-1.0718771	1.0011874	-1.0081867	1.0072730	1.0143387	1.0025637
LOC_Os02g49326	Os.27449.1.S1_at	SET	Salinity;Drought	FT918138;FT923900;FT923898;FT923785;FT923784;AB156488;AG025129	--	-1.7900449	-1.9428676	-1.0278848	-1.0278848	1.0752352	1.0752352	-1.0169598	-2.7700276	1.1205570	1.9360230	-1.2664430	1.2907971	-2.2722836	-10.1263440	-1.1519091	-2.0190554	3.0851429	-1.5905930
LOC_Os11g06840	Os.57118.1.S1_at	C2H2	Salinity	FT914531;AG211695	AB157136	-1.1156572	1.2934155	1.6376292	1.6376292	1.7234446	1.7234446	1.0686232	-2.5804913	-1.1706197	1.0682328	-1.0025003	-1.0099205	-1.0384021	-1.0034362	-1.0347670	-1.5928847	-1.2931627	-1.0231179
LOC_Os02g48370	Os.54897.1.S1_at	ARID	Drought	FT927572;FT886075;FT919709;AG206771;CU323269;CU318962	--	-1.0935345	-1.6061876	-1.1035061	-1.1035061	-1.0555540	-1.0555540	-1.0059583	-1.0279393	1.0639504	1.2927570	2.1302880	2.0942943	1.2866182	-1.1601193	2.1503785	1.0060250	1.1675600	1.6860006
LOC_Os07g42510	Os.10293.1.S1_at	AP2-EREBP	Salinity;Drought	--	--	1.3380022	-4.6667090	-1.0601139	-1.0601139	1.0315621	1.0315621	1.1292387	1.7998654	1.0898442	-1.2241417	-1.9648519	-4.4956117	1.3303144	12.5683130	-2.7358081	-3.0174456	-9.5458380	1.5009890
